,From,To,Product_ID,Demand,trfQty
87,Bandung-WH3,Surabaya-WH10,PROD1113,725,28
88,Bandung-WH3,Bali-WH11,PROD1113,624,167
89,Bandung-WH3,Bali-WH17,PROD1113,175,108
90,Surabaya-WH4,Surabaya-WH1,PROD1113,600,355
91,Surabaya-WH4,Surabaya-WH10,PROD1113,725,68
92,Jakarta-WH5,Jakarta-WH14,PROD1113,275,107
93,Jakarta-WH7,Jakarta-WH14,PROD1113,275,34
94,Surabaya-WH8,Surabaya-WH10,PROD1113,725,335
95,Jakarta-WH13,Surabaya-WH10,PROD1113,725,166
96,Jakarta-WH13,Jakarta-WH14,PROD1113,275,69
97,Surabaya-WH15,Surabaya-WH10,PROD1113,725,35
98,Bandung-WH16,Bali-WH17,PROD1113,175,36
99,Bali-WH18,Bali-WH17,PROD1113,175,23
100,Surabaya-WH20,Surabaya-WH1,PROD1113,600,70
101,Surabaya-WH20,Surabaya-WH19,PROD1113,475,72
102,Supplier,Jakarta-WH2,PROD1113,600,600
103,Supplier,Bandung-WH3,PROD1113,675,675
104,Supplier,Surabaya-WH4,PROD1113,150,150
105,Supplier,Jakarta-WH7,PROD1113,72,72
106,Supplier,Surabaya-WH8,PROD1113,63,63
107,Supplier,Bandung-WH9,PROD1113,750,464
108,Supplier,Jakarta-WH12,PROD1113,408,333
109,Supplier,Jakarta-WH13,PROD1113,360,360
110,Supplier,Bandung-WH16,PROD1113,120,120
111,Surabaya-WH1,Surabaya-WH20,PROD1135,621,211
112,Jakarta-WH2,Jakarta-WH14,PROD1135,754,418
113,Bandung-WH6,Surabaya-WH20,PROD1135,621,200
114,Jakarta-WH7,Jakarta-WH5,PROD1135,750,121
115,Jakarta-WH7,Jakarta-WH14,PROD1135,754,97
116,Surabaya-WH8,Surabaya-WH4,PROD1135,425,212
117,Surabaya-WH8,Surabaya-WH15,PROD1135,375,2
118,Bandung-WH9,Surabaya-WH20,PROD1135,621,59
119,Bali-WH11,Bali-WH17,PROD1135,414,251
120,Jakarta-WH12,Jakarta-WH5,PROD1135,750,122
121,Jakarta-WH13,Jakarta-WH5,PROD1135,750,73
122,Bandung-WH16,Bandung-WH3,PROD1135,408,230
123,Bandung-WH16,Surabaya-WH4,PROD1135,425,59
124,Bandung-WH16,Jakarta-WH5,PROD1135,750,71
125,Bali-WH18,Surabaya-WH15,PROD1135,375,286
126,Bali-WH18,Bali-WH17,PROD1135,414,30
127,Bali-WH18,Surabaya-WH20,PROD1135,621,131
128,Surabaya-WH19,Surabaya-WH4,PROD1135,425,69
129,Surabaya-WH19,Surabaya-WH10,PROD1135,625,188
130,Supplier,Surabaya-WH1,PROD1135,483,483
131,Supplier,Jakarta-WH2,PROD1135,96,96
132,Supplier,Jakarta-WH7,PROD1135,368,368
133,Supplier,Bandung-WH9,PROD1135,225,225
134,Supplier,Surabaya-WH10,PROD1135,625,120
135,Supplier,Bali-WH11,PROD1135,621,621
136,Supplier,Jakarta-WH13,PROD1135,462,462
137,Supplier,Bandung-WH16,PROD1135,220,220
138,Supplier,Bali-WH18,PROD1135,648,648
139,Supplier,Surabaya-WH19,PROD1135,208,208
140,Surabaya-WH1,Surabaya-WH4,PROD1025,625,58
141,Jakarta-WH2,Bandung-WH3,PROD1025,650,216
142,Jakarta-WH2,Bandung-WH9,PROD1025,384,3
143,Jakarta-WH2,Jakarta-WH13,PROD1025,475,23
144,Jakarta-WH2,Surabaya-WH20,PROD1025,225,106
145,Jakarta-WH5,Bandung-WH3,PROD1025,650,323
146,Jakarta-WH5,Bandung-WH6,PROD1025,182,71
147,Jakarta-WH5,Surabaya-WH10,PROD1025,425,49
148,Jakarta-WH7,Jakarta-WH14,PROD1025,552,28
149,Surabaya-WH8,Bali-WH11,PROD1025,754,18
150,Surabaya-WH8,Bali-WH18,PROD1025,440,252
151,Surabaya-WH8,Surabaya-WH20,PROD1025,225,95
152,Jakarta-WH12,Surabaya-WH4,PROD1025,625,403
153,Jakarta-WH12,Jakarta-WH14,PROD1025,552,46
154,Jakarta-WH12,Surabaya-WH20,PROD1025,225,1
155,Surabaya-WH15,Surabaya-WH10,PROD1025,425,222
156,Bandung-WH16,Bali-WH11,PROD1025,754,117
157,Bali-WH17,Bali-WH11,PROD1025,754,314
158,Surabaya-WH19,Surabaya-WH10,PROD1025,425,97
159,Supplier,Jakarta-WH2,PROD1025,483,483
160,Supplier,Surabaya-WH8,PROD1025,48,48
161,Supplier,Surabaya-WH15,PROD1025,528,379
162,Supplier,Bandung-WH16,PROD1025,416,416
163,Bandung-WH6,Bandung-WH16,PROD1049,425,2
164,Surabaya-WH8,Surabaya-WH19,PROD1049,675,52
165,Bandung-WH9,Surabaya-WH1,PROD1049,400,69
166,Bandung-WH9,Bandung-WH3,PROD1049,416,116
167,Bandung-WH9,Surabaya-WH4,PROD1049,720,7
168,Bandung-WH9,Bandung-WH16,PROD1049,425,179
169,Bandung-WH9,Surabaya-WH19,PROD1049,675,50
170,Bali-WH11,Bali-WH18,PROD1049,552,299
171,Jakarta-WH12,Jakarta-WH5,PROD1049,624,15
172,Jakarta-WH13,Jakarta-WH2,PROD1049,432,201
173,Jakarta-WH13,Jakarta-WH5,PROD1049,624,219
174,Jakarta-WH14,Jakarta-WH2,PROD1049,432,221
175,Jakarta-WH14,Surabaya-WH19,PROD1049,675,93
176,Surabaya-WH15,Surabaya-WH19,PROD1049,675,3
177,Bali-WH17,Surabaya-WH1,PROD1049,400,50
178,Bali-WH17,Surabaya-WH10,PROD1049,432,243
179,Bali-WH17,Bali-WH18,PROD1049,552,159
180,Surabaya-WH20,Surabaya-WH19,PROD1049,675,212
181,Supplier,Surabaya-WH4,PROD1049,720,343
182,Supplier,Bandung-WH6,PROD1049,432,432
183,Supplier,Jakarta-WH7,PROD1049,550,449
184,Supplier,Surabaya-WH8,PROD1049,250,250
185,Supplier,Bandung-WH9,PROD1049,725,725
186,Supplier,Bali-WH11,PROD1049,432,432
187,Supplier,Jakarta-WH12,PROD1049,360,360
188,Supplier,Jakarta-WH13,PROD1049,667,667
189,Supplier,Jakarta-WH14,PROD1049,513,513
190,Supplier,Surabaya-WH15,PROD1049,216,216
191,Supplier,Surabaya-WH20,PROD1049,437,437
192,Jakarta-WH2,Jakarta-WH5,PROD1081,450,47
193,Bandung-WH6,Bandung-WH9,PROD1081,575,319
194,Jakarta-WH7,Jakarta-WH5,PROD1081,450,261
195,Jakarta-WH7,Jakarta-WH14,PROD1081,432,230
196,Surabaya-WH8,Surabaya-WH1,PROD1081,725,376
197,Surabaya-WH10,Surabaya-WH1,PROD1081,725,47
198,Surabaya-WH10,Jakarta-WH12,PROD1081,728,127
199,Bandung-WH16,Bandung-WH3,PROD1081,624,118
200,Bandung-WH16,Bandung-WH9,PROD1081,575,180
201,Bandung-WH16,Jakarta-WH12,PROD1081,728,24
202,Bali-WH17,Bali-WH11,PROD1081,572,95
203,Bali-WH18,Bandung-WH3,PROD1081,624,133
204,Bali-WH18,Bali-WH11,PROD1081,572,171
205,Surabaya-WH19,Surabaya-WH1,PROD1081,725,18
206,Surabaya-WH19,Surabaya-WH4,PROD1081,450,42
207,Surabaya-WH19,Jakarta-WH5,PROD1081,450,75
208,Surabaya-WH20,Jakarta-WH12,PROD1081,728,106
209,Surabaya-WH20,Surabaya-WH15,PROD1081,374,32
210,Supplier,Jakarta-WH7,PROD1081,624,624
211,Supplier,Surabaya-WH8,PROD1081,408,408
212,Supplier,Surabaya-WH10,PROD1081,672,370
213,Supplier,Jakarta-WH13,PROD1081,546,168
214,Supplier,Bandung-WH16,PROD1081,400,400
215,Supplier,Surabaya-WH19,PROD1081,475,475
216,Surabaya-WH1,Bandung-WH6,PROD1095,648,234
217,Surabaya-WH1,Bandung-WH16,PROD1095,450,250
218,Jakarta-WH2,Jakarta-WH13,PROD1095,644,61
219,Bandung-WH3,Bandung-WH9,PROD1095,432,266
220,Jakarta-WH5,Bandung-WH16,PROD1095,450,1
221,Jakarta-WH7,Bandung-WH9,PROD1095,432,4
222,Jakarta-WH7,Jakarta-WH13,PROD1095,644,37
223,Surabaya-WH10,Surabaya-WH4,PROD1095,600,20
224,Surabaya-WH10,Bandung-WH6,PROD1095,648,103
225,Bali-WH11,Bandung-WH9,PROD1095,432,97
226,Bali-WH11,Bali-WH18,PROD1095,408,398
227,Jakarta-WH12,Jakarta-WH13,PROD1095,644,232
228,Jakarta-WH14,Jakarta-WH13,PROD1095,644,68
229,Surabaya-WH15,Surabaya-WH4,PROD1095,600,166
230,Surabaya-WH15,Surabaya-WH8,PROD1095,650,178
231,Bali-WH17,Bandung-WH6,PROD1095,648,163
232,Surabaya-WH19,Bandung-WH9,PROD1095,432,19
233,Surabaya-WH19,Bandung-WH16,PROD1095,450,159
234,Surabaya-WH20,Surabaya-WH4,PROD1095,600,92
235,Supplier,Surabaya-WH1,PROD1095,500,500
236,Supplier,Jakarta-WH2,PROD1095,468,468
237,Supplier,Jakarta-WH5,PROD1095,312,312
238,Supplier,Jakarta-WH7,PROD1095,234,234
239,Supplier,Bali-WH11,PROD1095,506,506
240,Supplier,Jakarta-WH12,PROD1095,625,625
241,Supplier,Jakarta-WH14,PROD1095,456,456
242,Supplier,Surabaya-WH15,PROD1095,312,312
243,Supplier,Bali-WH17,PROD1095,456,200
244,Supplier,Surabaya-WH19,PROD1095,297,297
245,Supplier,Surabaya-WH20,PROD1095,250,250
246,Surabaya-WH1,Surabaya-WH10,PROD1108,576,12
247,Jakarta-WH5,Jakarta-WH2,PROD1108,672,88
248,Jakarta-WH5,Bandung-WH3,PROD1108,552,115
249,Jakarta-WH5,Bandung-WH6,PROD1108,676,53
250,Jakarta-WH7,Surabaya-WH10,PROD1108,576,190
251,Jakarta-WH7,Surabaya-WH15,PROD1108,600,143
252,Surabaya-WH8,Surabaya-WH10,PROD1108,576,57
253,Surabaya-WH8,Surabaya-WH19,PROD1108,672,229
254,Bandung-WH9,Bandung-WH6,PROD1108,676,116
255,Bandung-WH9,Bandung-WH16,PROD1108,234,219
256,Bandung-WH9,Bali-WH18,PROD1108,624,149
257,Bali-WH11,Bali-WH18,PROD1108,624,99
258,Jakarta-WH12,Bandung-WH6,PROD1108,676,447
259,Jakarta-WH13,Jakarta-WH2,PROD1108,672,124
260,Jakarta-WH13,Surabaya-WH4,PROD1108,648,83
261,Jakarta-WH13,Surabaya-WH15,PROD1108,600,168
262,Bali-WH17,Bali-WH18,PROD1108,624,166
263,Surabaya-WH20,Surabaya-WH4,PROD1108,648,157
264,Supplier,Surabaya-WH1,PROD1108,48,48
265,Supplier,Jakarta-WH5,PROD1108,264,264
266,Supplier,Jakarta-WH7,PROD1108,675,675
267,Supplier,Surabaya-WH8,PROD1108,600,600
268,Supplier,Bandung-WH9,PROD1108,696,696
269,Supplier,Jakarta-WH12,PROD1108,450,450
270,Supplier,Jakarta-WH14,PROD1108,480,131
271,Supplier,Surabaya-WH19,PROD1108,672,6
272,Surabaya-WH1,Bali-WH18,PROD1110,650,283
273,Bandung-WH3,Jakarta-WH12,PROD1110,575,38
274,Bandung-WH3,Bali-WH17,PROD1110,644,26
275,Jakarta-WH7,Jakarta-WH2,PROD1110,650,43
276,Bandung-WH9,Jakarta-WH5,PROD1110,425,253
277,Bandung-WH9,Jakarta-WH12,PROD1110,575,172
278,Surabaya-WH10,Bali-WH17,PROD1110,644,275
279,Bali-WH11,Bali-WH17,PROD1110,644,174
280,Bali-WH11,Bali-WH18,PROD1110,650,6
281,Jakarta-WH13,Jakarta-WH2,PROD1110,650,15
282,Jakarta-WH14,Jakarta-WH2,PROD1110,650,251
283,Surabaya-WH15,Surabaya-WH4,PROD1110,300,160
284,Surabaya-WH15,Bali-WH18,PROD1110,650,242
285,Bandung-WH16,Jakarta-WH2,PROD1110,650,149
286,Bandung-WH16,Bandung-WH6,PROD1110,460,128
287,Bandung-WH16,Jakarta-WH12,PROD1110,575,106
288,Surabaya-WH19,Surabaya-WH4,PROD1110,300,64
289,Surabaya-WH19,Surabaya-WH8,PROD1110,702,324
290,Surabaya-WH20,Bali-WH17,PROD1110,644,168
291,Supplier,Surabaya-WH1,PROD1110,480,351
292,Supplier,Bandung-WH3,PROD1110,600,600
293,Supplier,Jakarta-WH7,PROD1110,650,650
294,Supplier,Bandung-WH9,PROD1110,192,192
295,Supplier,Surabaya-WH10,PROD1110,75,75
296,Supplier,Bali-WH11,PROD1110,375,375
297,Supplier,Jakarta-WH13,PROD1110,350,350
298,Supplier,Jakarta-WH14,PROD1110,500,500
299,Supplier,Bandung-WH16,PROD1110,243,243
300,Supplier,Surabaya-WH19,PROD1110,25,25
301,Surabaya-WH4,Surabaya-WH20,PROD1111,442,62
302,Bandung-WH6,Bandung-WH3,PROD1111,725,68
303,Bandung-WH6,Surabaya-WH15,PROD1111,528,317
304,Jakarta-WH7,Jakarta-WH2,PROD1111,416,193
305,Surabaya-WH8,Surabaya-WH15,PROD1111,528,23
306,Bandung-WH9,Bandung-WH3,PROD1111,725,242
307,Bandung-WH9,Surabaya-WH19,PROD1111,624,76
308,Bali-WH11,Surabaya-WH10,PROD1111,336,315
309,Bali-WH11,Surabaya-WH20,PROD1111,442,181
310,Jakarta-WH12,Jakarta-WH2,PROD1111,416,75
311,Jakarta-WH12,Jakarta-WH13,PROD1111,325,205
312,Jakarta-WH14,Jakarta-WH2,PROD1111,416,7
313,Jakarta-WH14,Jakarta-WH5,PROD1111,216,16
314,Bandung-WH16,Jakarta-WH2,PROD1111,416,19
315,Bandung-WH16,Surabaya-WH19,PROD1111,624,206
316,Bali-WH17,Surabaya-WH1,PROD1111,575,147
317,Bali-WH17,Surabaya-WH10,PROD1111,336,21
318,Bali-WH17,Surabaya-WH15,PROD1111,528,6
319,Bali-WH18,Surabaya-WH19,PROD1111,624,335
320,Supplier,Surabaya-WH4,PROD1111,125,125
321,Supplier,Bandung-WH6,PROD1111,360,360
322,Supplier,Jakarta-WH7,PROD1111,144,144
323,Supplier,Surabaya-WH8,PROD1111,638,491
324,Supplier,Bali-WH11,PROD1111,650,650
325,Supplier,Jakarta-WH12,PROD1111,192,192
326,Surabaya-WH1,Surabaya-WH8,PROD1116,700,200
327,Surabaya-WH4,Surabaya-WH8,PROD1116,700,124
328,Jakarta-WH7,Bandung-WH3,PROD1116,286,15
329,Jakarta-WH7,Jakarta-WH5,PROD1116,240,175
330,Jakarta-WH7,Bandung-WH6,PROD1116,621,20
331,Surabaya-WH10,Surabaya-WH20,PROD1116,700,272
332,Bali-WH11,Bandung-WH3,PROD1116,286,32
333,Bali-WH11,Surabaya-WH8,PROD1116,700,76
334,Bali-WH11,Bandung-WH9,PROD1116,700,217
335,Bali-WH11,Bali-WH18,PROD1116,384,61
336,Jakarta-WH12,Jakarta-WH2,PROD1116,525,15
337,Jakarta-WH12,Bandung-WH6,PROD1116,621,169
338,Jakarta-WH13,Jakarta-WH2,PROD1116,525,34
339,Jakarta-WH14,Jakarta-WH2,PROD1116,525,295
340,Bandung-WH16,Bandung-WH6,PROD1116,621,274
341,Bali-WH17,Bandung-WH3,PROD1116,286,67
342,Surabaya-WH19,Surabaya-WH8,PROD1116,700,181
343,Surabaya-WH19,Surabaya-WH15,PROD1116,483,153
344,Surabaya-WH19,Surabaya-WH20,PROD1116,700,103
345,Supplier,Surabaya-WH1,PROD1116,168,151
346,Supplier,Surabaya-WH4,PROD1116,442,442
347,Supplier,Jakarta-WH7,PROD1116,400,400
348,Supplier,Surabaya-WH10,PROD1116,225,225
349,Supplier,Bali-WH11,PROD1116,48,48
350,Supplier,Jakarta-WH13,PROD1116,475,475
351,Jakarta-WH2,Jakarta-WH12,PROD1124,567,172
352,Bandung-WH3,Surabaya-WH10,PROD1124,600,27
353,Bandung-WH3,Surabaya-WH20,PROD1124,600,63
354,Jakarta-WH5,Jakarta-WH12,PROD1124,567,120
355,Bandung-WH6,Surabaya-WH1,PROD1124,529,57
356,Jakarta-WH7,Jakarta-WH13,PROD1124,550,58
357,Surabaya-WH8,Surabaya-WH1,PROD1124,529,73
358,Bandung-WH9,Surabaya-WH4,PROD1124,728,181
359,Bandung-WH9,Jakarta-WH13,PROD1124,550,236
360,Bandung-WH9,Surabaya-WH20,PROD1124,600,75
361,Jakarta-WH14,Jakarta-WH12,PROD1124,567,128
362,Jakarta-WH14,Jakarta-WH13,PROD1124,550,61
363,Surabaya-WH15,Surabaya-WH1,PROD1124,529,125
364,Surabaya-WH15,Surabaya-WH10,PROD1124,600,250
365,Bandung-WH16,Surabaya-WH10,PROD1124,600,125
366,Bali-WH17,Surabaya-WH4,PROD1124,728,198
367,Bali-WH17,Bali-WH11,PROD1124,400,148
368,Bali-WH18,Bali-WH11,PROD1124,400,109
369,Surabaya-WH19,Surabaya-WH1,PROD1124,529,194
370,Supplier,Jakarta-WH2,PROD1124,672,672
371,Supplier,Bandung-WH3,PROD1124,225,225
372,Supplier,Bandung-WH6,PROD1124,175,175
373,Supplier,Surabaya-WH8,PROD1124,720,569
374,Supplier,Bandung-WH9,PROD1124,50,50
375,Supplier,Bandung-WH16,PROD1124,625,625
376,Supplier,Surabaya-WH19,PROD1124,75,75
377,Surabaya-WH4,Surabaya-WH1,PROD1125,520,51
378,Surabaya-WH4,Surabaya-WH19,PROD1125,660,97
379,Surabaya-WH4,Surabaya-WH20,PROD1125,675,164
380,Bandung-WH6,Bandung-WH3,PROD1125,384,15
381,Jakarta-WH7,Jakarta-WH2,PROD1125,300,126
382,Jakarta-WH7,Jakarta-WH5,PROD1125,125,14
383,Jakarta-WH7,Jakarta-WH12,PROD1125,780,135
384,Bandung-WH9,Bandung-WH3,PROD1125,384,229
385,Surabaya-WH10,Surabaya-WH20,PROD1125,675,333
386,Bali-WH11,Surabaya-WH19,PROD1125,660,30
387,Jakarta-WH13,Jakarta-WH12,PROD1125,780,234
388,Jakarta-WH14,Jakarta-WH12,PROD1125,780,31
389,Surabaya-WH15,Surabaya-WH8,PROD1125,600,267
390,Surabaya-WH15,Surabaya-WH19,PROD1125,660,80
391,Bandung-WH16,Bandung-WH3,PROD1125,384,83
392,Bandung-WH16,Jakarta-WH12,PROD1125,780,154
393,Bali-WH18,Surabaya-WH8,PROD1125,600,153
394,Bali-WH18,Bali-WH17,PROD1125,529,286
395,Supplier,Surabaya-WH4,PROD1125,192,192
396,Supplier,Bandung-WH6,PROD1125,72,72
397,Supplier,Jakarta-WH7,PROD1125,432,312
398,Supplier,Bandung-WH9,PROD1125,456,456
399,Supplier,Surabaya-WH10,PROD1125,500,500
400,Supplier,Bali-WH11,PROD1125,23,23
401,Supplier,Jakarta-WH13,PROD1125,598,598
402,Supplier,Jakarta-WH14,PROD1125,384,384
403,Supplier,Surabaya-WH15,PROD1125,598,521
404,Supplier,Bandung-WH16,PROD1125,234,234
405,Supplier,Bali-WH18,PROD1125,192,192
406,Surabaya-WH1,Surabaya-WH20,PROD1134,648,264
407,Jakarta-WH2,Jakarta-WH13,PROD1134,504,47
408,Jakarta-WH2,Jakarta-WH14,PROD1134,350,9
409,Surabaya-WH4,Surabaya-WH10,PROD1134,450,23
410,Surabaya-WH4,Surabaya-WH15,PROD1134,650,62
411,Bandung-WH6,Bandung-WH9,PROD1134,525,343
412,Surabaya-WH8,Surabaya-WH20,PROD1134,648,27
413,Bali-WH11,Bali-WH17,PROD1134,75,22
414,Bali-WH11,Bali-WH18,PROD1134,483,300
415,Bali-WH11,Surabaya-WH20,PROD1134,648,132
416,Jakarta-WH12,Jakarta-WH7,PROD1134,648,96
417,Bandung-WH16,Bandung-WH3,PROD1134,336,102
418,Bandung-WH16,Jakarta-WH5,PROD1134,216,13
419,Bandung-WH16,Jakarta-WH7,PROD1134,648,8
420,Bandung-WH16,Bandung-WH9,PROD1134,525,126
421,Bandung-WH16,Jakarta-WH13,PROD1134,504,7
422,Bandung-WH16,Surabaya-WH15,PROD1134,650,60
423,Bandung-WH16,Surabaya-WH20,PROD1134,648,54
424,Surabaya-WH19,Surabaya-WH15,PROD1134,650,96
425,Supplier,Jakarta-WH7,PROD1134,648,64
426,Supplier,Surabaya-WH8,PROD1134,288,288
427,Supplier,Bali-WH11,PROD1134,72,72
428,Supplier,Bandung-WH16,PROD1134,672,672
429,Surabaya-WH1,Bali-WH18,PROD1016,575,233
430,Surabaya-WH1,Surabaya-WH20,PROD1016,425,23
431,Jakarta-WH2,Bandung-WH3,PROD1016,459,106
432,Jakarta-WH2,Jakarta-WH7,PROD1016,598,393
433,Surabaya-WH4,Bali-WH18,PROD1016,575,198
434,Jakarta-WH5,Jakarta-WH7,PROD1016,598,179
435,Jakarta-WH5,Jakarta-WH12,PROD1016,720,127
436,Bandung-WH6,Bandung-WH3,PROD1016,459,295
437,Surabaya-WH8,Bandung-WH9,PROD1016,525,38
438,Surabaya-WH8,Surabaya-WH19,PROD1016,696,124
439,Surabaya-WH10,Bali-WH17,PROD1016,442,8
440,Surabaya-WH10,Surabaya-WH19,PROD1016,696,74
441,Surabaya-WH10,Surabaya-WH20,PROD1016,425,36
442,Bali-WH11,Bali-WH18,PROD1016,575,71
443,Jakarta-WH13,Bandung-WH9,PROD1016,525,32
444,Jakarta-WH14,Bandung-WH9,PROD1016,525,13
445,Jakarta-WH14,Jakarta-WH12,PROD1016,720,303
446,Surabaya-WH15,Surabaya-WH20,PROD1016,425,189
447,Bandung-WH16,Bandung-WH9,PROD1016,525,46
448,Supplier,Jakarta-WH2,PROD1016,23,23
449,Supplier,Surabaya-WH4,PROD1016,125,125
450,Supplier,Jakarta-WH5,PROD1016,437,437
451,Supplier,Bandung-WH6,PROD1016,240,240
452,Supplier,Surabaya-WH8,PROD1016,450,450
453,Supplier,Surabaya-WH10,PROD1016,672,672
454,Supplier,Jakarta-WH13,PROD1016,250,250
455,Supplier,Jakarta-WH14,PROD1016,600,600
456,Supplier,Surabaya-WH15,PROD1016,456,456
457,Supplier,Bandung-WH16,PROD1016,725,725
458,Supplier,Bali-WH17,PROD1016,442,418
459,Jakarta-WH2,Surabaya-WH15,PROD1041,552,162
460,Bandung-WH3,Bali-WH18,PROD1041,700,83
461,Surabaya-WH4,Surabaya-WH8,PROD1041,625,25
462,Bandung-WH6,Bali-WH17,PROD1041,325,196
463,Bandung-WH6,Bali-WH18,PROD1041,700,125
464,Bandung-WH9,Bali-WH11,PROD1041,576,167
465,Surabaya-WH10,Surabaya-WH15,PROD1041,552,341
466,Jakarta-WH12,Jakarta-WH5,PROD1041,450,76
467,Jakarta-WH13,Jakarta-WH7,PROD1041,48,42
468,Jakarta-WH13,Surabaya-WH20,PROD1041,648,261
469,Jakarta-WH14,Jakarta-WH5,PROD1041,450,147
